song	link	album	lyrics
Dreaming Of Me	https://www.allthelyrics.com/lyrics/depeche_mode/dreaming_of_me-lyrics-46398.html	Album: The Singles 81>85	"Light switch
Man switch
Film was broken only then
All the night
Fused tomorrow
Dancing with a distant friend
Filming and screning
I picture the scene
Filming and dreaming
Dreaming of me
So we left
Understanding
Cleancut so we're sounding fast
Talked of sad
I talked of war
I laughed and climbed the rising cast
Quickly I remembered
Fused and saw a face before
Timing reason
Understanding
Like association hall"
Dressed In Black	https://www.allthelyrics.com/lyrics/depeche_mode/dressed_in_black-lyrics-46466.html	Album: Music For The Masses	"She's dressed in black again
And I'm falling down again
Down to the floor again
I'm begging for more again
But oh what can you do
When she's dressed in black
My mind wanders endlessly
On paths where she's leading me
With games that she likes to play
And words that she doesn't say
Not when whe're alone
And she's dressed in black
As a picture of herself
She's a picture of the world
A reflection of you
A reflection of me
And it's all there to see
If you only give in
To the fire within
Dressed in black again
Shadows fall onto me
As she stands there over me
And waits to encompass me
I lay here helplessly
But oh what can you do
When she's dressed in black
Dressed in black again"
Enjoy The Silence	https://www.allthelyrics.com/lyrics/depeche_mode/enjoy_the_silence-lyrics-46511.html	Album: The Singles 86>98	"Words like violence
Break the silence
Come crashing in
Into my little world
Painful to me
Pierce right through me
Can't you understand
Oh my little girl
All I ever wanted
All I ever needed
Is here in my arms
Words are very unnecessary
They can only do harm
Vows are spoken
To be broken
Feelings are intense
Words are trivial
Pleasures remain
So does the pain
Words are meaningless
And forgettable
All I ever wanted
All I ever needed
Is here in my arms
Words are very unnecessary
They can only do harm"
Everything Counts	https://www.allthelyrics.com/lyrics/depeche_mode/everything_counts-lyrics-46429.html	Album: The Singles 81>85	"The handshake seals the contract
From the contract there's no turning back
The turning point of a career
In Korea being insincere
The holiday was fun-packed
The contract, still intact
The grabbing hands grab all they can
All for themselves - after all
The grabbing hands grab all they can
All for themselves - after all
It's a competitive world
Everything counts in large amounts
The graph on the wall
Tells the story of it all
Picture it now see just how
The lies and deceit gained a little more power
Confidence - taken in
By a suntan and a grin
The grabbing hands grab all they can
All for themselves - after all
The grabbing hands grab all they can
All for themselves - after all
It's a competitive world
Everything counts in large amounts
The grabbing hands grab all they can
Everything counts in large amounts"
Everything Counts (Long Version)	https://www.allthelyrics.com/lyrics/depeche_mode/everything_counts_long_version-lyrics-1145501.html	Album: Best Of Depeche Mode	"The handshake seals the contract
From the contract there's no turning back
The turning point of a career
In Korea being insincere
The holiday was fun-packed
The contract, still intact
The grabbing hands grab all they can
All for themselves - after all
The grabbing hands grab all they can
All for themselves - after all
It's a competitive world
Everything counts in large amounts
The graph on the wall
Tells the story of it all
Picture it now see just how
The lies and deceit gained a little more power
Confidence - taken in
By a suntan and a grin
The grabbing hands grab all they can
All for themselves - after all
The grabbing hands grab all they can
All for themselves - after all
It's a competitive world
Everything counts in large amounts
The grabbing hands grab all they can
Everything counts in large amounts"
Flexible	https://www.allthelyrics.com/lyrics/depeche_mode/flexible-lyrics-46367.html	Album: Disc 1	"Fame
Can have strange effects
Money
Can have strange effects
I ask myself
Is it a sin
To be flexible
When the boat comes in
Open the window and out go ideals
Drink
Can alter you
Girls
Can have strange effects, too
We all know boats don't last
We all know cars are fast"
Fly On The Windscreen	https://www.allthelyrics.com/lyrics/depeche_mode/fly_on_the_windscreen-lyrics-46482.html	Album: Music For The Masses	"Death is everywhere
There are flies on the windscreen
For a start
Reminding us
We could be torn apart
Tonight
Death is everywhere
There are lambs for the slaughter
Waiting to die
And I can sense
The hours slipping by
Tonight
Come here
Kiss me
Now
Come here
Kiss me
Now
Death is everywhere
The more I look
The more I see
The more I feel
A sense of urgency
Tonight
Come here
Touch me
Kiss me
Touch me
Now
Touch me
Touch me
There are flies on the windscreen
There are lambs for the slaughter
There are flies on the windscreen
Come here
Touch me
Kiss me
Touch me
Now
Touch me
Touch me"
Fools	https://www.allthelyrics.com/lyrics/depeche_mode/fools-lyrics-46382.html	Album: A Broken Frame	"Don't know the reason why I
Think I've been here before
This place seems so familiar
But then I can't be sure
Here comes that time again when
You'll walk right out the door
Don't tell me secrets anymore
And fools don't run away
You'll be followed another day
And all the chances that fall your way
Are in the fire on your dying day
So call me now and tell me that you're home
Can't see the sense in crying
There's too many tears to fall
My thoughts are multiplying
So I'll try to save them all"
Fragile Tension	https://www.allthelyrics.com/lyrics/depeche_mode/fragile_tension-lyrics-1306083.html	Album: Sounds Of The Universe	"There's a fragile tension,
That's keeping us going
It may not last forever,
But oh well it's blowing
There's something magical in the air
Something so tragic we had to care
There's a strange obsession,
That's drawing us nearer
We don't understand it
It never gets clearer
There's something mystical in our dreams
So simplistic it kicks and screams
All we will seem to reek on the edge of collapse
Nothing can keep us down
There's a dizzying feeling,
That's keeping us flying
Some glittering gauntlet
Without even trying
There's something radical in our hands
Nothing logical to our plans"
Freelove	https://www.allthelyrics.com/lyrics/depeche_mode/freelove-lyrics-33726.html	Album: Exciter	"If you've been hiding from love
If you've been hiding from love
I can understand where you're coming from
I can understand where you're coming from
If you've suffered enough
If you've suffered enough
I can understand what you're thinking of
I can see the pain that you're frightened of
And I'm only here
To bring you free love
Let's make it clear
That this is free love
No hidden catch
No strings attached
Just free love
No hidden catch
No strings attached
Just free love
I've been running like you
I've been running like you
Now you understand why I'm running scared
Now you understand why I'm running scared
I've been searching for truth
I've been searching for truth
And I haven't been getting anywhere
No I haven't been getting anywhere
And I'm only here
To bring you free love
Let's make it clear
That this is free love
No hidden catch
No strings attached
Just free love
No hidden catch
No strings attached
Just free love
Hey girl
You've got to take this moment
Then let it slip away
Let go of complicated feelings
Then there's no price to pay
We've been running from love
We've been running from love
And we don't know what we're doing here
No we don't know what we're doing here
We're only here
Sharing our free love
Let's make it clear
That this is free love
No hidden catch
No strings attached
Just free love
No hidden catch
No strings attached
Just free love"
